LDHU3_01.0030;LmjF.01.0010;Protein_of_unknown_function_(DUF2946)_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0040;LmjF.01.0020;Endonuclease/Exonuclease/phosphatase_family_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0050;LmjF.01.0030;Kinesin-13_1_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0060;LmjF.01.0040;hypothetical_protein_conserved;;;;;;;;;;;;;;;;;
LDHU3_01.0070;LmjF.01.0050;carboxylase_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0080;LmjF.01.0060;hypothetical_protein_conserved;;;;;;;;;;;;;;;;;
LDHU3_01.0090;LmjF.01.0070;BSD_domain_containing_protein_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0100;LmjF.01.0080;hypothetical_protein_conserved;;;;;;;;;;;;;;;;;
LDHU3_01.0110;LmjF.01.0090;UMP-CMP_kinase_mitochondrial_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0120;LmjF.01.0100;Glycosyl_transferase_family_11_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0130;LmjF.01.0110;monothiol_glutaredoxin_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0140;LmjF.01.0120;hypothetical_protein_conserved;;;;;;;;;;;;;;;;;
LDHU3_01.0150;LmjF.01.0130;hypothetical_protein_conserved;;;;;;;;;;;;;;;;;
LDHU3_01.0160;LmjF.01.0140;hypothetical_protein_conserved;;;;;;;;;;;;;;;;;
LDHU3_01.0170;LmjF.01.0150;hypothetical_protein_conserved;;;;;;;;;;;;;;;;;
LDHU3_01.0180;LmjF.01.0160;LSM_domain_containing_protein_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0190;LmjF.01.0170;hypothetical_protein_conserved;;;;;;;;;;;;;;;;;
LDHU3_01.0200;LmjF.01.0180;CLC-type_chloride_channel_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0210;LmjF.01.0190;hypothetical_protein_conserved;;;;;;;;;;;;;;;;;
LDHU3_01.0220;LmjF.01.0200;Low_molecular_weight_phosphotyrosine_protein_phosphatase_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0230;LmjF.01.0210;UBA/TS-N_domain/CUE_domain/Domain_of_unknown_function_(DUF1771)/Smr_domain_containing_protein_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0250;LmjF.01.0220;cyclophilin_12_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0260;LmjF.01.0230;hypothetical_protein_conserved;;;;;;;;;;;;;;;;;
LDHU3_01.0270;LmjF.01.0240;DNA_excision/repair_protein_SNF2_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0280;LmjF.01.0250;Right_handed_beta_helix_region/Periplasmic_copper-binding_protein_(NosD)_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0290;LmjF.01.0260;Calmodulin-binding_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0300;LmjF.01.0270;thioredoxin_putative;;;;;;;;;;;;;;;;;
LDHU3_01.0310;LmjF.01.0280;pseudouridylate_synthase-like_protein;;;;;;;;;;;;;;;;;
